,lower_bound,upper_bound,count,percent_of_high,percent_of_total
17,1256.178,1300.659,40,40.4040404040404,0.03865182436611008
49,2679.572,2724.053,28,28.28282828282828,0.027056277056277056
18,1300.659,1345.14,15,15.151515151515152,0.014494434137291281
48,2635.091,2679.572,9,9.090909090909092,0.008696660482374767
47,2590.61,2635.091,6,6.0606060606060606,0.0057977736549165125
46,2546.129,2590.61,1,1.0101010101010102,0.000966295609152752
35,2056.837,2101.318,0,0.0,0.0
28,1745.47,1789.951,0,0.0,0.0
29,1789.951,1834.432,0,0.0,0.0
30,1834.432,1878.913,0,0.0,0.0
