bus,x,y,country
AL1 0,19.897913657380467,41.58756832883462,AL
AT1 0,13.60427444018489,47.54949821704954,AT
BA1 0,18.122703744298455,43.81136666515542,BA
BE1 0,4.6174607553224245,50.81888696970449,BE
BG1 0,24.673671018558693,42.76527120231763,BG
CH1 0,8.213076121971683,46.83243155790327,CH
CZ1 0,15.255766133141059,49.835025231961914,CZ
DE1 0,9.482007477191074,50.97809797287747,DE
DK1 0,9.780571804546701,55.95401091656313,DK
DK2 0,12.2839744286048,55.50990254373552,DK
EE6 0,25.879151796111493,58.97990628084797,EE
ES1 0,-3.4276102147050658,40.60133167815752,ES
ES4 0,2.7388915999999996,39.6729018,ES
FI2 0,25.053685500000004,62.8576799074074,FI
FR1 0,3.1416376979667873,46.80157876606808,FR
GB0 0,-1.9833148477788194,53.33172116554991,GB
GB5 0,-6.097540942585512,54.668778749066895,GB
GR1 0,22.73004415738375,38.948594315594896,GR
HR1 0,16.157553500000002,45.20687242857143,HR
HU1 0,18.879135167852805,47.216547475067166,HU
IE5 0,-7.631337824605365,52.799813936222904,IE
IT1 0,11.706806725438838,43.58410977578161,IT
IT3 0,8.7459755,39.9681955,IT
LT6 0,23.007282074232347,55.161558581596694,LT
LU1 0,6.130510690868268,49.6773404049915,LU
LV6 0,23.724680088385135,56.838802320354965,LV
ME1 0,19.1445008,42.8066642,ME
MK1 0,21.587448166666665,41.58136233333333,MK
NL1 0,5.55144817647059,52.374286058823536,NL
NO2 0,8.623107409406309,60.99910110334458,NO
PL1 0,19.08127436397448,51.58862009063283,PL
PT1 0,-8.282124629507434,40.313465607938554,PT
RO1 0,25.091769508644916,45.55130893440349,RO
RS1 0,20.662691528520664,44.11371028940375,RS
SE2 0,16.233413841148572,61.274981309992185,SE
SI1 0,14.805218016971812,46.12127875725622,SI
SK1 0,19.02788801851852,48.6533333776392,SK
