generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969695,349976.5536298572,0.34,#707070,Coal
ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491946,0.015000000000000003,183919.03305363358,0.0,#6895dd,Offshore Wind (AC)
ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015000000000000003,96085.88801996633,0.0,#235ebc,Onshore Wind
ES1 0 solar,ES1 0,solar,1103.2863903115247,0.010000000000000004,35602.07124380446,0.0,#f9d002,Solar
ES1 1 CCGT,ES1 1,CCGT,3102.318,38.85517241379311,99027.72929315246,0.2,#b20101,Combined-Cycle Gas
ES1 1 coal,ES1 1,coal,485.8,28.196969696969695,349976.5536298572,0.34,#707070,Coal
ES1 1 offwind-ac,ES1 1,offwind-ac,659.9845062885394,0.015,183497.19925999118,0.0,#6895dd,Offshore Wind (AC)
ES1 1 onwind,ES1 1,onwind,2987.5795088563195,0.015000000000000001,96085.88801996633,0.0,#235ebc,Onshore Wind
ES1 1 solar,ES1 1,solar,997.6419807812829,0.01,35602.07124380445,0.0,#f9d002,Solar
ES1 2 CCGT,ES1 2,CCGT,3366.52,40.773180291243555,99027.72929315243,0.2,#b20101,Combined-Cycle Gas
ES1 2 coal,ES1 2,coal,1120.7,28.196969696969695,349976.5536298572,0.34,#707070,Coal
ES1 2 offwind-ac,ES1 2,offwind-ac,81.41812234896094,0.015,185460.8393300557,0.0,#6895dd,Offshore Wind (AC)
ES1 2 onwind,ES1 2,onwind,4177.98243145088,0.015000000000000001,96085.88801996628,0.0,#235ebc,Onshore Wind
ES1 2 ror,ES1 2,ror,36.65,0.0,299140.2249292296,0.0,#4adbc8,Run of River
ES1 2 solar,ES1 2,solar,1258.4329093785896,0.010000000000000002,35602.07124380445,0.0,#f9d002,Solar
ES1 3 CCGT,ES1 3,CCGT,6225.0,41.039249856548196,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
ES1 3 coal,ES1 3,coal,543.0208674157096,28.196969696969695,349976.5536298572,0.34,#707070,Coal
ES1 3 offwind-ac,ES1 3,offwind-ac,3813.550615754752,0.015,184588.3619562837,0.0,#6895dd,Offshore Wind (AC)
ES1 3 onwind,ES1 3,onwind,3188.486869328991,0.015000000000000001,96085.88801996631,0.0,#235ebc,Onshore Wind
ES1 3 solar,ES1 3,solar,2215.1920363579256,0.01,35602.07124380445,0.0,#f9d002,Solar
ES1 4 CCGT,ES1 4,CCGT,1879.5800000000002,38.796220772198495,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
ES1 4 coal,ES1 4,coal,1521.347682661484,28.1969696969697,349976.5536298572,0.34,#707070,Coal
ES1 4 offwind-ac,ES1 4,offwind-ac,1819.0918489794374,0.015,184037.52220188075,0.0,#6895dd,Offshore Wind (AC)
ES1 4 onwind,ES1 4,onwind,3833.017195808858,0.014999999999999994,96085.8880199663,0.0,#235ebc,Onshore Wind
ES1 4 solar,ES1 4,solar,644.221044249258,0.01,35602.07124380444,0.0,#f9d002,Solar
ES1 5 CCGT,ES1 5,CCGT,597.5,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
ES1 5 onwind,ES1 5,onwind,4150.453988785024,0.015000000000000001,96085.8880199663,0.0,#235ebc,Onshore Wind
ES1 5 solar,ES1 5,solar,2270.9839365368257,0.01,35602.07124380446,0.0,#f9d002,Solar
ES1 6 CCGT,ES1 6,CCGT,3736.5139999999997,53.09184503763878,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
ES1 6 offwind-ac,ES1 6,offwind-ac,1993.006855849516,0.015,183319.76637314336,0.0,#6895dd,Offshore Wind (AC)
ES1 6 onwind,ES1 6,onwind,2619.4774169594352,0.015,96085.88801996631,0.0,#235ebc,Onshore Wind
ES1 6 solar,ES1 6,solar,1009.5005333050457,0.01,35602.07124380444,0.0,#f9d002,Solar
ES1 7 CCGT,ES1 7,CCGT,46.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
ES1 7 onwind,ES1 7,onwind,3638.9477604182757,0.015000000000000001,96085.8880199663,0.0,#235ebc,Onshore Wind
ES1 7 solar,ES1 7,solar,1651.1136164862937,0.010000000000000002,35602.07124380445,0.0,#f9d002,Solar
ES1 8 CCGT,ES1 8,CCGT,3926.6,38.85517241379312,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
ES1 8 offwind-ac,ES1 8,offwind-ac,694.826477714733,0.015000000000000003,184159.4580148566,0.0,#6895dd,Offshore Wind (AC)
ES1 8 onwind,ES1 8,onwind,742.1419460642877,0.015,96085.88801996628,0.0,#235ebc,Onshore Wind
ES1 8 ror,ES1 8,ror,110.35824749999999,0.0,299140.2249292296,0.0,#4adbc8,Run of River
ES1 8 solar,ES1 8,solar,531.2068256319207,0.01,35602.07124380444,0.0,#f9d002,Solar
PT1 0 CCGT,PT1 0,CCGT,1141.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
PT1 0 offwind-ac,PT1 0,offwind-ac,1056.0115312442217,0.015,183221.68606825784,0.0,#6895dd,Offshore Wind (AC)
PT1 0 onwind,PT1 0,onwind,1540.8128858697523,0.015000000000000001,96085.8880199663,0.0,#235ebc,Onshore Wind
PT1 0 ror,PT1 0,ror,2368.9,0.0,299140.2249292296,0.0,#4adbc8,Run of River
PT1 0 solar,PT1 0,solar,377.3664011812092,0.010000000000000002,35602.07124380446,0.0,#f9d002,Solar
PT1 1 CCGT,PT1 1,CCGT,3004.0,38.89284107946028,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
PT1 1 offwind-ac,PT1 1,offwind-ac,3404.1772048985877,0.015000000000000003,185562.89466095367,0.0,#6895dd,Offshore Wind (AC)
PT1 1 onwind,PT1 1,onwind,3672.827789448679,0.015,96085.8880199663,0.0,#235ebc,Onshore Wind
PT1 1 ror,PT1 1,ror,269.6,0.0,299140.22492922953,0.0,#4adbc8,Run of River
PT1 1 solar,PT1 1,solar,648.0735988187907,0.01,35602.07124380446,0.0,#f9d002,Solar
