bucket,lower,upper,absolute,relative_percent
curtailment,-110.00000000000001,-90.0,0,0.0
gap_curtailment_neg_thermal,-90.0,-62.1724371519848,0,0.0
neg_thermal,-62.1724371519848,-49.85727272727273,0,0.0
gap_neg_thermal_neg_wind,-49.85727272727273,-0.016499999999999997,0,0.0
neg_wind,-0.016499999999999997,-0.013499999999999996,0,0.0
gap_neg_wind_neg_solar,-0.013499999999999996,-0.011000000000000001,0,0.0
neg_solar,-0.011000000000000001,-0.009000000000000001,0,0.0
gap_neg_solar_non-binding,-0.009000000000000001,-0.0001,0,0.0
non-binding,-0.0001,0.0001,154,0.2976190476190476
gap_non-binding_solar,0.0001,0.009000000000000001,0,0.0
solar,0.009000000000000001,0.011000000000000001,0,0.0
gap_solar_wind,0.011000000000000001,0.013499999999999996,0,0.0
wind,0.013499999999999996,0.016499999999999997,13218,25.54499072356215
gap_wind_thermal,0.016499999999999997,49.85727272727273,530,1.024273345701917
thermal,49.85727272727273,62.1724371519848,37114,71.72619047619048
other,,,728,1.406926406926407
