,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,125.051,249,84.98293515358361,0.4812152133580705
50,3206.086,3268.964,15,5.1194539249146755,0.028988868274582563
51,3268.964,3331.843,9,3.0716723549488054,0.017393320964749534
49,3143.208,3206.086,7,2.3890784982935154,0.013528138528138528
97,6161.365,6224.243,4,1.3651877133105803,0.007730364873222016
48,3080.33,3143.208,2,0.6825938566552902,0.003865182436611008
98,6224.243,6287.122,2,0.6825938566552902,0.003865182436611008
96,6098.487,6161.365,2,0.6825938566552902,0.003865182436611008
95,6035.609,6098.487,1,0.3412969283276451,0.001932591218305504
94,5972.73,6035.609,1,0.3412969283276451,0.001932591218305504
