dual,year,scenario,total_duals,nonzero_duals,percent_nonzero,average_dual
battery_charge_new_max_duals,2025,NT,14784,35,0.23674242424242425,-0.0003606258127068395
battery_charge_new_max_duals,2030,NT,14784,382,2.5838744588744587,-0.0027841172451416795
battery_charge_new_max_duals,2040,DE,14784,165,1.1160714285714286,-0.03866126647541713
battery_charge_new_max_duals,2040,GA,14784,355,2.401244588744589,-0.012848863010159639
battery_charge_new_max_duals,2040,NT,14784,239,1.616612554112554,-0.03643223248617064
battery_charge_new_max_duals,2050,DE,14784,186,1.2581168831168832,-0.01301611716506203
battery_charge_new_max_duals,2050,GA,14784,411,2.7800324675324677,-0.0008360741761200673
battery_discharge_new_max_duals,2025,NT,14784,110,0.744047619047619,-8.661445910877256e-05
battery_discharge_new_max_duals,2030,NT,14784,105,0.7102272727272727,-8.671149168668094e-05
battery_discharge_new_max_duals,2040,DE,14784,89,0.6020021645021645,-0.03937011143753895
battery_discharge_new_max_duals,2040,GA,14784,89,0.6020021645021645,-8.672220074945307e-05
battery_discharge_new_max_duals,2040,NT,14784,89,0.6020021645021645,-8.708032056201224e-05
battery_discharge_new_max_duals,2050,DE,14784,101,0.6831709956709957,-0.07875016371189543
battery_discharge_new_max_duals,2050,GA,14784,89,0.6020021645021645,-8.693030283850728e-05
branch_extension_duals,2025,All,19,2,10.526315789473683,-991.7089436569261
branch_extension_duals,2030,All,19,0,0.0,0.0
branch_extension_duals,2040,All,19,0,0.0,0.0
branch_extension_duals,2050,All,19,0,0.0,0.0
branch_flow_new_duals_max,2025,NT,25536,2803,10.976660401002507,-0.3476961576543378
branch_flow_new_duals_max,2030,NT,25536,3660,14.332706766917294,-0.12084620553002115
branch_flow_new_duals_max,2040,DE,25536,4031,15.785557644110277,-0.09887183843525661
branch_flow_new_duals_max,2040,GA,25536,3749,14.6812343358396,-0.3146135176097238
branch_flow_new_duals_max,2040,NT,25536,4005,15.683740601503759,-0.32137909224479105
branch_flow_new_duals_max,2050,DE,25536,4208,16.478696741854638,-0.20551395725543223
branch_flow_new_duals_max,2050,GA,25536,3888,15.225563909774436,-0.1229230779040769
branch_flow_new_duals_min,2025,NT,25536,9591,37.55874060150376,0.507525249261069
branch_flow_new_duals_min,2030,NT,25536,9183,35.9609962406015,0.2104644889303477
branch_flow_new_duals_min,2040,DE,25536,8804,34.47681704260652,0.16016953931759675
branch_flow_new_duals_min,2040,GA,25536,9088,35.58897243107769,0.3936454947045687
branch_flow_new_duals_min,2040,NT,25536,8857,34.6843671679198,0.3843395834999636
branch_flow_new_duals_min,2050,DE,25536,8627,33.783677944862156,0.2855400487056049
branch_flow_new_duals_min,2050,GA,25536,8931,34.974154135338345,0.19117483707698038
branch_flow_old_duals_max,2025,NT,25536,2795,10.945332080200501,-0.05398788698185933
branch_flow_old_duals_max,2030,NT,25536,3654,14.309210526315788,-0.06974645981206727
branch_flow_old_duals_max,2040,DE,25536,4030,15.781641604010025,-0.0938724742733359
branch_flow_old_duals_max,2040,GA,25536,3739,14.642073934837093,-0.07376713347394548
branch_flow_old_duals_max,2040,NT,25536,4002,15.671992481203006,-0.08946422530710592
branch_flow_old_duals_max,2050,DE,25536,4208,16.478696741854638,-0.13247422008782128
branch_flow_old_duals_max,2050,GA,25536,3882,15.202067669172934,-0.08110968579007354
branch_flow_old_duals_min,2025,NT,25536,9585,37.535244360902254,0.2138169785885905
branch_flow_old_duals_min,2030,NT,25536,9188,35.980576441102755,0.15936474321239386
branch_flow_old_duals_min,2040,DE,25536,8804,34.47681704260652,0.15517017515567605
branch_flow_old_duals_min,2040,GA,25536,9095,35.616384711779446,0.15279911056879047
branch_flow_old_duals_min,2040,NT,25536,8857,34.6843671679198,0.15242471656227852
branch_flow_old_duals_min,2050,DE,25536,8620,33.7562656641604,0.21250031153799376
branch_flow_old_duals_min,2050,GA,25536,8936,34.9937343358396,0.149361444962977
emissions_duals,2025,NT,1,0,0.0,0.0
emissions_duals,2030,NT,1,0,0.0,0.0
emissions_duals,2040,DE,1,0,0.0,0.0
emissions_duals,2040,GA,1,0,0.0,0.0
emissions_duals,2040,NT,1,0,0.0,0.0
emissions_duals,2050,DE,1,0,0.0,0.0
emissions_duals,2050,GA,1,0,0.0,0.0
gen_extension_duals,2025,All,51,38,74.50980392156863,-117446.60644244058
gen_extension_duals,2030,All,51,30,58.82352941176471,-64387.760532746805
gen_extension_duals,2040,All,51,20,39.21568627450981,-28856.986151531997
gen_extension_duals,2050,All,51,12,23.52941176470588,-7408.017659017958
gen_output_new_duals,2025,NT,68544,53644,78.26213818860877,-35.01174366124892
gen_output_new_duals,2030,NT,68544,50338,73.4389589169001,-30.23703224076529
gen_output_new_duals,2040,DE,68544,53621,78.22858309990663,-36.61477799644615
gen_output_new_duals,2040,GA,68544,50419,73.55713118580766,-29.79066794149924
gen_output_new_duals,2040,NT,68544,52937,77.23068394024276,-33.75927244422537
gen_output_new_duals,2050,DE,68544,54775,79.91217320261438,-52.93565951193901
gen_output_new_duals,2050,GA,68544,51358,74.92705415499533,-30.27478372449212
gen_output_old_duals,2025,NT,68544,53641,78.2577614379085,-34.96890584882673
gen_output_old_duals,2030,NT,68544,50339,73.44041783380018,-30.237032240766244
gen_output_old_duals,2040,DE,68544,53622,78.23004201680672,-32.82501257441755
gen_output_old_duals,2040,GA,68544,50416,73.55275443510737,-29.79066794148715
gen_output_old_duals,2040,NT,68544,52935,77.22776610644257,-31.876496937944843
gen_output_old_duals,2050,DE,68544,54775,79.91217320261438,-50.16627304304986
gen_output_old_duals,2050,GA,68544,51355,74.92267740429504,-30.274783724481637
load_shedding_duals,2025,NT,14784,0,0.0,0.0
load_shedding_duals,2030,NT,14784,0,0.0,0.0
load_shedding_duals,2040,DE,14784,0,0.0,0.0
load_shedding_duals,2040,GA,14784,0,0.0,0.0
load_shedding_duals,2040,NT,14784,0,0.0,0.0
