,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,90.856,120.404,355,51.300578034682076,0.34303494124922695
1,120.404,149.952,198,28.61271676300578,0.1913265306122449
2,149.952,179.5,40,5.780346820809249,0.03865182436611008
12,445.429,474.977,37,5.346820809248555,0.03575293753865182
97,2956.985,2986.532,15,2.167630057803468,0.014494434137291281
98,2986.532,3016.08,10,1.4450867052023122,0.00966295609152752
96,2927.437,2956.985,10,1.4450867052023122,0.00966295609152752
95,2897.889,2927.437,10,1.4450867052023122,0.00966295609152752
11,415.881,445.429,7,1.0115606936416186,0.006764069264069264
94,2868.342,2897.889,5,0.7225433526011561,0.00483147804576376
