generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
AL1 0 offwind-ac,AL1 0,offwind-ac,2711.4601969850705,0.015,184939.01713526816,0.0,#6895dd,Offshore Wind (AC)
AL1 0 oil,AL1 0,oil,89.85454305809466,148.85714285714286,37870.8074066883,0.26,#262626,Oil
AL1 0 onwind,AL1 0,onwind,0.0,0.015000000000000006,96085.88801996625,0.0,#235ebc,Onshore Wind
AL1 0 ror,AL1 0,ror,48.2,0.0,299140.2249292296,0.0,#4adbc8,Run of River
AL1 0 solar,AL1 0,solar,16.85,0.01,35602.071243804465,0.0,#f9d002,Solar
AT1 0 CCGT,AT1 0,CCGT,3295.9,38.82720213743009,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
AT1 0 OCGT,AT1 0,OCGT,463.0,53.524390243902445,45095.4415151225,0.2,#d35050,Open-Cycle Gas
AT1 0 coal,AT1 0,coal,378.4,28.196969696969695,349976.5536298572,0.34,#707070,Coal
AT1 0 onwind,AT1 0,onwind,3224.1199999999985,0.015000000000000001,96085.88801996631,0.0,#235ebc,Onshore Wind
AT1 0 ror,AT1 0,ror,4797.5,0.0,299140.2249292296,0.0,#4adbc8,Run of River
AT1 0 solar,AT1 0,solar,2220.099999999999,0.010000000000000002,35602.07124380445,0.0,#f9d002,Solar
BA1 0 onwind,BA1 0,onwind,87.0,0.015000000000000001,96085.88801996631,0.0,#235ebc,Onshore Wind
BA1 0 solar,BA1 0,solar,34.89,0.010000000000000002,35602.07124380446,0.0,#f9d002,Solar
BE1 0 CCGT,BE1 0,CCGT,4863.3,40.86610851842251,99027.72929315243,0.2,#b20101,Combined-Cycle Gas
BE1 0 OCGT,BE1 0,OCGT,512.0,53.524390243902445,45095.4415151225,0.2,#d35050,Open-Cycle Gas
BE1 0 biomass,BE1 0,biomass,363.0,14.893617021276597,278083.0653560446,0.0,#0c6013,Biomass
BE1 0 coal,BE1 0,coal,512.596947849125,28.196969696969695,349976.5536298572,0.34,#707070,Coal
BE1 0 nuclear,BE1 0,nuclear,5919.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
BE1 0 offwind-ac,BE1 0,offwind-ac,1297.126624693255,0.015,184868.938885692,0.0,#6895dd,Offshore Wind (AC)
BE1 0 offwind-dc,BE1 0,offwind-dc,1428.3048529555604,0.015,201469.26972641144,0.0,#74c6f2,Offshore Wind (DC)
BE1 0 oil,BE1 0,oil,163.6,148.85714285714286,37870.8074066883,0.26,#262626,Oil
BE1 0 onwind,BE1 0,onwind,2437.8200000000006,0.015,96085.88801996627,0.0,#235ebc,Onshore Wind
BE1 0 ror,BE1 0,ror,79.87619657813644,0.0,299140.22492922953,0.0,#4adbc8,Run of River
BE1 0 solar,BE1 0,solar,5646.399999999999,0.01,35602.07124380445,0.0,#f9d002,Solar
BG1 0 CCGT,BG1 0,CCGT,83.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
BG1 0 coal,BG1 0,coal,160.41703044199232,28.196969696969695,349976.5536298572,0.34,#707070,Coal
BG1 0 lignite,BG1 0,lignite,1455.136725502029,12.287878787878787,349976.5536298572,0.41,#9e5a01,Lignite
BG1 0 nuclear,BG1 0,nuclear,2080.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
BG1 0 offwind-ac,BG1 0,offwind-ac,1437.8925052404597,0.015,190786.83282440202,0.0,#6895dd,Offshore Wind (AC)
BG1 0 offwind-dc,BG1 0,offwind-dc,0.0,0.015,199397.80474462968,0.0,#74c6f2,Offshore Wind (DC)
BG1 0 onwind,BG1 0,onwind,703.12,0.015000000000000001,96085.8880199663,0.0,#235ebc,Onshore Wind
BG1 0 ror,BG1 0,ror,22.4,0.0,299140.2249292296,0.0,#4adbc8,Run of River
BG1 0 solar,BG1 0,solar,1072.9500000000003,0.01,35602.07124380445,0.0,#f9d002,Solar
CH1 0 CCGT,CH1 0,CCGT,55.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
CH1 0 biomass,CH1 0,biomass,85.9662,14.893617021276594,278083.06535604474,0.0,#0c6013,Biomass
CH1 0 nuclear,CH1 0,nuclear,3348.0,11.37878787878788,706772.616768959,0.0,#ff9000,Nuclear
CH1 0 onwind,CH1 0,onwind,87.90905515836411,0.014999999999999998,96085.88801996628,0.0,#235ebc,Onshore Wind
CH1 0 ror,CH1 0,ror,4604.799999999999,0.0,299140.2249292296,0.0,#4adbc8,Run of River
CH1 0 solar,CH1 0,solar,2954.8361862127576,0.01,35602.07124380445,0.0,#f9d002,Solar
