bucket,lower,upper,absolute,relative_percent
curtailment,-110.00000000000001,-90.0,0,0.0
gap_curtailment_neg_thermal,-90.0,-68.41666666666666,0,0.0
neg_thermal,-68.41666666666666,-54.46835766980575,0,0.0
gap_neg_thermal_neg_wind,-54.46835766980575,-0.016499999999999997,0,0.0
neg_wind,-0.016499999999999997,-0.013499999999999996,0,0.0
gap_neg_wind_neg_solar,-0.013499999999999996,-0.011000000000000001,0,0.0
neg_solar,-0.011000000000000001,-0.009000000000000001,0,0.0
gap_neg_solar_non-binding,-0.009000000000000001,-0.0001,0,0.0
non-binding,-0.0001,0.0001,0,0.0
gap_non-binding_solar,0.0001,0.009000000000000001,0,0.0
solar,0.009000000000000001,0.011000000000000001,22,0.021258503401360544
gap_solar_wind,0.011000000000000001,0.013499999999999996,0,0.0
wind,0.013499999999999996,0.016499999999999997,19063,18.420493197278912
gap_wind_thermal,0.016499999999999997,54.46835766980575,661,0.6387213976499692
thermal,54.46835766980575,68.41666666666666,82426,79.64788188002474
other,,,1316,1.2716450216450217
