bucket,lower,upper,absolute,relative_percent
curtailment,-110.00000000000001,-90.0,0,0.0
gap_curtailment_neg_thermal,-90.0,-83.37666666666668,0,0.0
neg_thermal,-83.37666666666668,-61.668357669805744,0,0.0
gap_neg_thermal_neg_wind,-61.668357669805744,-0.016499999999999997,0,0.0
neg_wind,-0.016499999999999997,-0.013499999999999996,0,0.0
gap_neg_wind_neg_solar,-0.013499999999999996,-0.011000000000000001,0,0.0
neg_solar,-0.011000000000000001,-0.009000000000000001,0,0.0
gap_neg_solar_non-binding,-0.009000000000000001,-0.0001,0,0.0
non-binding,-0.0001,0.0001,0,0.0
gap_non-binding_solar,0.0001,0.009000000000000001,0,0.0
solar,0.009000000000000001,0.011000000000000001,0,0.0
gap_solar_wind,0.011000000000000001,0.013499999999999996,0,0.0
wind,0.013499999999999996,0.016499999999999997,18357,17.73828849721707
gap_wind_thermal,0.016499999999999997,61.668357669805744,1904,1.83982683982684
thermal,61.668357669805744,83.37666666666668,82432,79.65367965367966
other,,,795,0.7682050092764379
